source_file,rank,title,year,rating,votes,error_reason
data/imdb_movie_dataset.csv,929,Good Kids,2016,6.1,3843,Missing Revenue
data/imdb_movie_dataset.csv,930,The Master,2012,7.1,112902,Missing Metascore
data/imdb_movie_dataset.csv,933,The Ticket,2016,5.4,924,Missing Revenue
data/imdb_movie_dataset.csv,934,Detour,2016,6.3,2205,Missing Revenue
data/imdb_movie_dataset.csv,939,The Siege of Jadotville,2016,7.3,14689,Missing Revenue
data/imdb_movie_dataset.csv,940,Up in the Air,2009,7.4,279694,Missing Metascore
data/imdb_movie_dataset.csv,943,Transpecos,2016,5.8,1292,Missing Revenue
data/imdb_movie_dataset.csv,946,Triangle,2009,6.9,72533,Missing Revenue
data/imdb_movie_dataset.csv,947,The Butler,2013,7.2,93322,Missing Metascore
data/imdb_movie_dataset.csv,965,Custody,2016,6.9,280,Missing Revenue
data/imdb_movie_dataset.csv,966,Inland Empire,2006,7,44227,Missing Revenue; Missing Metascore
data/imdb_movie_dataset.csv,967,L'odyssée,2016,6.7,1810,Missing Revenue
data/imdb_movie_dataset.csv,968,The Walk,2015,7.3,92378,Missing Metascore
data/imdb_movie_dataset.csv,969,Wrecker,2015,3.5,1210,Missing Revenue
data/imdb_movie_dataset.csv,970,The Lone Ranger,2013,6.5,190855,Missing Metascore
data/imdb_movie_dataset.csv,972,Disturbia,2007,6.9,193491,Missing Metascore
data/imdb_movie_dataset.csv,977,Dark Places,2015,6.2,31634,Missing Revenue
data/imdb_movie_dataset.csv,978,Amateur Night,2016,5,2229,Missing Revenue
data/imdb_movie_dataset.csv,979,It's Only the End of the World,2016,7,10658,Missing Revenue
data/imdb_movie_dataset.csv,989,Martyrs,2008,7.1,63785,Missing Revenue
data/imdb_movie_dataset.csv,990,Selma,2014,7.5,67637,Missing Metascore
data/imdb_movie_dataset.csv,993,Take Me Home Tonight,2011,6.3,45419,Missing Metascore
data/imdb_movie_dataset.csv,996,Secret in Their Eyes,2015,6.2,27585,Missing Revenue
data/imdb_movie_dataset.csv,999,Search Party,2014,5.6,4881,Missing Revenue
